bowler,matches,legal_balls,runs_conceded,wickets,overs,economy
RJ Peterson,4,48,70,3,8.0,8.75
GHS Garton,5,90,135,3,15.0,9.0
T Shamsi,5,120,181,3,20.0,9.05
RS Hangargekar,2,36,60,3,6.0,10.0
R Sathish,14,139,232,3,23.1,10.01
Gagandeep Singh,4,84,141,3,14.0,10.07
Sikandar Raza,7,84,141,3,14.0,10.07
JA Richardson,4,90,157,3,15.0,10.47
VR Iyer,9,81,143,3,13.3,10.59
L Ablish,3,42,75,3,7.0,10.71
JJ van der Wath,3,72,129,3,12.0,10.75
R Ninan,2,36,65,3,6.0,10.83
K Santokie,2,48,90,3,8.0,11.25
TM Head,7,64,120,3,10.4,11.25
Abhinandan Singh,3,58,122,3,9.4,12.62
Sachin Baby,2,10,8,2,1.4,4.8
MJ Clarke,5,66,67,2,11.0,6.09
PH Solanki,2,36,38,2,6.0,6.33
KA Maharaj,2,36,39,2,6.0,6.5
Mohammad Hafeez,4,60,68,2,10.0,6.8
C Nanda,3,48,57,2,8.0,7.12
RN ten Doeschate,10,78,94,2,13.0,7.23
SM Boland,2,42,54,2,7.0,7.71
Ankit Soni,6,109,144,2,18.1,7.93
GD Phillips,4,30,40,2,5.0,8.0
ND Doshi,4,56,79,2,9.2,8.46
P Dubey,5,78,111,2,13.0,8.54
PHKD Mendis,4,42,60,2,7.0,8.57
SC Kuggeleijn,2,48,71,2,8.0,8.88
Mayank Dagar,8,137,203,2,22.5,8.89
DNT Zoysa,3,66,99,2,11.0,9.0
V Kaverappa,1,24,36,2,4.0,9.0
FA Allen,4,90,136,2,15.0,9.07
AU Rashid,3,60,91,2,10.0,9.1
K Yadav,3,54,84,2,9.0,9.33
P Suyal,5,96,151,2,16.0,9.44
A Flintoff,3,66,105,2,11.0,9.55
RJ Gleeson,3,68,110,2,11.2,9.71
SD Chitnis,2,36,60,2,6.0,10.0
Shoaib Malik,5,51,85,2,8.3,10.0
MA Khote,2,30,51,2,5.0,10.2
LJ Wright,6,71,124,2,11.5,10.48
SS Mishra,2,38,67,2,6.2,10.58
D Kalyankrishna,3,48,87,2,8.0,10.88
A Uniyal,2,36,66,2,6.0,11.0
KJ Abbott,5,96,177,2,16.0,11.06
MJ Suthar,4,48,94,2,8.0,11.75
RA Bawa,2,24,50,2,4.0,12.5
JPR Scantlebury-Searles,3,42,89,2,7.0,12.71
KT Maphaka,4,66,143,2,11.0,13.0
Abdul Samad,7,57,125,2,9.3,13.16
DA Payne,2,30,70,2,5.0,14.0
AC Gilchrist,1,1,0,1,0.1,0.0
NB Singh,2,24,15,1,4.0,3.75
AM Rahane,1,6,5,1,1.0,5.0
LA Carseldine,1,6,6,1,1.0,6.0
SS Mundhe,1,6,6,1,1.0,6.0
DJM Short,2,18,19,1,3.0,6.33
T Henderson,2,36,40,1,6.0,6.67
GH Vihari,6,42,47,1,7.0,6.71
GR Napier,1,24,27,1,4.0,6.75
BMAJ Mendis,2,30,36,1,5.0,7.2
RS Ghosh,1,18,24,1,3.0,8.0
SS Sarkar,2,25,34,1,4.1,8.16
